sku,weight (kg),depth (cm),width (cm),height (cm)
MY2W2B/A,0.47,0.59,17.85,24.76
MXE42B/A,0.47,0.59,17.85,24.76
MXE52B/A,0.47,0.59,17.85,24.76
MXE62B/A,0.47,0.59,17.85,24.76
MXE72B/A,0.47,0.59,17.85,24.76
MXE82B/A,0.47,0.59,17.85,24.76
MXE92B/A,0.47,0.59,17.85,24.76
MUUK2B/A,0.46,0.61,17.41,25.06
MUUL2B/A,0.46,0.61,17.41,25.06
MUUT2B/A,0.46,0.61,17.41,25.06
MV0D2B/A,0.46,0.61,17.41,25.06
MW742B/A,0.48,0.75,17.41,25.06
MW752B/A,0.48,0.75,17.41,25.06
MW762B/A,0.48,0.75,17.41,25.06
MW772B/A,0.48,0.75,17.41,25.06
MW792B/A,0.48,,,
MW6A2B/A,0.49,0.75,17.41,25.06
MW6D2B/A,0.49,,,
MW6E2B/A,0.49,0.75,17.41,25.06
MUQW2B/A,0.3,0.61,13.48,20.32
MUQX2B/A,0.3,0.61,13.48,20.32
MUQY2B/A,0.3,0.61,13.48,20.32
MUU32B/A,0.3,0.61,13.48,20.32
MUU52B/A,0.3,0.61,13.48,20.32
MUU62B/A,0.3,0.61,13.48,20.32
MUX52B/A,0.31,0.61,13.48,20.32
MUX62B/A,0.31,0.61,13.48,20.32
MUX72B/A,0.31,0.61,13.48,20.32
MUXC2B/A,0.31,0.61,13.48,20.32
MUXD2B/A,0.31,0.61,13.48,20.32
MUXE2B/A,0.31,0.61,13.48,20.32
ADS3600WZU1,6.3,25.4,38.2,33
ADS2200ZU1,4,24.5,39.3,28.6
ADS2700WZU1,3.9,24.5,39.3,28.6
ADS1700WZU1,1.9,15.7,38,20
MFCJ890DWZU1,20.9,43.6,54.5,37.9
MFCJ5945DWZU1,25.3,54.3,66.2,50.4
TD2130NXX1,1.34,21.5,11,17.2
TD2120NZU1,1.34,21.5,11,17.2
QL820NWBZU1,2.62,18.4,29.8,23.2
VC500WZU1,1.79,24.8,25.4,10.8
RJ4250WBZ1,0.85,15.9,15.3,6.8
PTP900WZW1,1.48,19.2,11.8,14.6
PTE550WVPZW1,1.05,25,12.6,9.4
PTP950NWZW1,1.51,19.2,11.8,14.6
TD4420TNZ1,2.5,28,20.4,17.75
TD4100NZU1,1.83,22.9,17.3,15.8
HLL5100DNZU1,13,45,48.5,37.7
HLL6300DWZU1,15.8,49.2,49.7,42.7
HLL5100DNTZU1,22,52.2,66.2,70.2
MFCL2710DNZU1,11.8,41,39.85,31.85
MFCL2730DWZU1,11.8,39.9,41,31.8
HLL2370DNZU1,7.2,36,35.6,18.3
MFCL3770CDWZU1,28.8,52.3,62.3,56.8
HLL3210CWZU1,17.2,46.1,41,25.2
DCPL3550CDWZU1,27.4,56.8,58.9,52.3
MFCL3710CWZU1,26.7,58.9,52.3,56.8
HLL6400DWZU1,16,49.2,49.7,53.1
HLL6400DWTZU1,25.9,52.2,66.2,85.6
RJ2050Z1,0.47,10,12.2,5.7
RJ2030Z1,0.47,10,12.2,5.7
RJ2150Z1,0.55,9.93,15,7.3
RJ2140Z1,0.55,9.93,15,7.3
RJ3150Z1,0.68,8.2,11.6,18.9
RJ3050Z1,0.61,8,11.3,18.6
PJ722Z1,0.48,5.5,25.5,3
PJ762Z1,0.48,5.5,25.5,3
PJ723Z1,0.48,5.5,25.5,3
PJ763Z1,0.48,5.5,25.5,3
PJ763MFIZ1,0.48,5.5,25.5,3
DS740DTJ1,1.02,16.2,37.7,7.6
DS940DWTJ1,1.11,16.2,37.7,7.6
MFCL6900DWZU1,23.8,52.6,59.9,76.2
MFCL5750DWZU1,20.2,52,54.5,64.1
MFCL6800DWZU1,22.9,52.6,59.9,65.9
MFCL5700DNZU1,20.1,52,54.5,64.1
